Name,Roll Number,Class,DOB,Contact
Jules Ostler,435077,S1,7/5/1996,2428174465
Willodean Tobar,583430,S1,27/05/1996,9444358575
Tequila Driskell,430185,S1,13/06/1996,1312659711
Omer Combest,622173,S1,28/06/1996,3894682952
Blossom Shill,788119,S1,7/7/1996,7511426906
Irmgard Batten,582104,S1,8/8/1996,7815341031
Ching Musselwhite,702204,S1,26/08/1996,1147785882
Belkis Mart,322131,S1,7/9/1996,3065432661
Vanetta Patti,360225,S1,9/9/1996,9077781190
Amalia Storrs,894729,S1,7/10/1996,8741048878
Sabina Jasmin,496713,S1,13/11/1996,5729361357
Vashti Kinyon,872532,S1,27/01/1997,8488820798
Dorris Bashir,977374,S1,2/2/1997,9215500920
Corey Lavallie,881622,S1,10/2/1997,9422215315
Misti Sorrell,251037,S1,7/3/1997,8437470770
Veda Shack,515584,S1,20/03/1997,1680075154
Shakira Hamlett,283660,S1,5/4/1997,6669397511
Donetta Bock,371122,S1,25/04/1997,1081641204
Shawn Follmer,226141,S1,14/06/1997,4133394883
Enid Seagle,307995,S1,24/06/1997,7051953798
Gloria Fabry,636484,S1,8/8/1997,9056824578
Annamaria Wilhoite,388274,S1,25/08/1997,6625665134
Lucrecia Rubenstein,323058,S1,28/08/1997,3686474283
Ahmed Frost,103194,S1,12/10/1997,5591880115
Gaston Mojarro,912746,S1,25/10/1997,1735339455
Natalie Hernandes,132155,S1,9/5/1996,8870501530
Numbers Leep,198273,S1,26/05/1996,4401068170
Opal Hardge,385370,S1,9/8/1996,4300381906
Claire Bavaro,176766,S1,9/10/1996,6366331726
Donnetta Trinh,714295,S1,4/11/1996,8495793873
Gennie Blanding,659654,S1,22/11/1996,4504175813
Tandra Blackledge,738601,S1,13/01/1997,1066966738
Heidy Nale,364465,S1,21/01/1997,6261604175
Sharleen Inniss,343874,S1,4/2/1997,1418142715
Elli Goehring,708387,S1,20/02/1997,6955317621
Laticia Bobadilla,871410,S1,10/3/1997,292859441
Valentine Bischof,623332,S1,18/03/1997,3211671505
Dane Higgs,190033,S1,12/4/1997,5893554030
Milton Huntington,905330,S1,25/04/1997,8679003638
